"22Rv1-CCS1477-1"	"22Rv1-CCS1477-2"	"22Rv1-CCS1477-3"	"22Rv1-Control-1"	"22Rv1-Control-2"	"22Rv1-Control-3"
"PAFAH1B1"	184.571123599375	183.540276671394	194.640138005277	164.724484702625	169.70091993067	165.766791165886
"BLTP2"	269.354386373516	272.741609707068	279.207663811687	282.483401440608	278.937707464448	286.473803326794
"TRAPPC6A"	34.8164945069066	34.5840498781529	36.8157120760414	38.1796487861431	36.9066782162845	38.8014763653986
"MATK"	27.0471233477642	27.5500058351388	26.9282777036355	48.1615569627612	42.9705414220334	48.2280447162666
"ST7L"	20.9773021296843	21.7917442901223	20.3366547886983	25.943761343837	23.5574541806071	24.5638378603531
"PAX6"	16.3642380039435	16.4472500417537	16.141985661011	9.42991325440883	9.46660658739213	8.95719565289947
"RPUSD1"	45.5964969902166	47.2384330339676	48.5757665947362	45.7235793896702	49.9941527610663	54.4081185728522
"RHBDF1"	26.7072133595518	31.2739115049698	31.6472804722838	31.2337126816761	30.7555651802371	31.1741700234099
"LUC7L"	66.6223576896455	69.2025803643598	68.9124213834345	71.8053394640595	68.2729922086114	68.6066426864003
"CACNA2D2"	7.38090260118522	7.51677255577002	6.92869454126923	6.3939411822577	6.15111303604742	6.53210338006206
"BAIAP3"	12.0910838664153	10.7234691047912	10.8986492514019	12.6958832108138	10.1209803146312	11.0302584022605
"TSR3"	35.3991973438423	35.8598323761506	37.4149505228538	34.5916817917827	36.2959294041947	38.6059044079117
"PIGQ"	59.9698336346299	66.3406898958786	60.8227023514661	46.1375755813271	51.3465251306937	51.2398528615647
